DISTANCE BETWEEN HUBS IN MILES,,"Western Governors University
4001 South 700 East, 
Salt Lake City, UT 84107","International Peace Gardens
 1060 Dalton Ave S","Sugar House Park
 1330 2100 S","Taylorsville-Bennion Heritage City Gov Off
 1488 4800 S"
"Western Governors University
4001 South 700 East, 
Salt Lake City, UT 84107", HUB,0,,,
"International Peace Gardens
 1060 Dalton Ave S"," 1060 Dalton Ave S
(84104)",7.2,0,,
"Sugar House Park
 1330 2100 S"," 1330 2100 S
(84106)",3.8,7.1,0,
"Taylorsville-Bennion Heritage City Gov Off
 1488 4800 S"," 1488 4800 S
(84123)",11,6.4,9.2,0
